"","Type","Alcohol","Malic acid","Magnesium","Total phenols","Flavanoids","Nonflavanoid Phenols","Color Intensity","Hue","Od280/od315 of diluted wines","Proline"
"1","1",14.23,1.71,127,2.8,3.06,0.28,5.64,1.04,3.92,1065
"2","1",13.2,1.78,100,2.65,2.76,0.26,4.38,1.05,3.4,1050
"3","1",13.16,2.36,101,2.8,3.24,0.3,5.68,1.03,3.17,1185
"4","1",14.37,1.95,113,3.85,3.49,0.24,7.8,0.86,3.45,1480
"5","1",13.24,2.59,118,2.8,2.69,0.39,4.32,1.04,2.93,735
"6","1",14.2,1.76,112,3.27,3.39,0.34,6.75,1.05,2.85,1450
"7","1",14.39,1.87,96,2.5,2.52,0.3,5.25,1.02,3.58,1290
"8","1",14.06,2.15,121,2.6,2.51,0.31,5.05,1.06,3.58,1295
"9","1",14.83,1.64,97,2.8,2.98,0.29,5.2,1.08,2.85,1045
"10","1",13.86,1.35,98,2.98,3.15,0.22,7.22,1.01,3.55,1045
"11","1",14.1,2.16,105,2.95,3.32,0.22,5.75,1.25,3.17,1510
"12","1",14.12,1.48,95,2.2,2.43,0.26,5,1.17,2.82,1280
"13","1",13.75,1.73,89,2.6,2.76,0.29,5.6,1.15,2.9,1320
"14","1",14.75,1.73,91,3.1,3.69,0.43,5.4,1.25,2.73,1150
"15","1",14.38,1.87,102,3.3,3.64,0.29,7.5,1.2,3,1547
"16","1",13.63,1.81,112,2.85,2.91,0.3,7.3,1.28,2.88,1310
"17","1",14.3,1.92,120,2.8,3.14,0.33,6.2,1.07,2.65,1280
"18","1",13.83,1.57,115,2.95,3.4,0.4,6.6,1.13,2.57,1130
"19","1",14.19,1.59,108,3.3,3.93,0.32,8.7,1.23,2.82,1680
"20","1",13.64,3.1,116,2.7,3.03,0.17,5.1,0.96,3.36,845
"21","1",14.06,1.63,126,3,3.17,0.24,5.65,1.09,3.71,780
"22","1",12.93,3.8,102,2.41,2.41,0.25,4.5,1.03,3.52,770
"23","1",13.71,1.86,101,2.61,2.88,0.27,3.8,1.11,4,1035
"24","1",12.85,1.6,95,2.48,2.37,0.26,3.93,1.09,3.63,1015
"25","1",13.5,1.81,96,2.53,2.61,0.28,3.52,1.12,3.82,845
"26","1",13.05,2.05,124,2.63,2.68,0.47,3.58,1.13,3.2,830
"27","1",13.39,1.77,93,2.85,2.94,0.34,4.8,0.92,3.22,1195
"28","1",13.3,1.72,94,2.4,2.19,0.27,3.95,1.02,2.77,1285
"29","1",13.87,1.9,107,2.95,2.97,0.37,4.5,1.25,3.4,915
"30","1",14.02,1.68,96,2.65,2.33,0.26,4.7,1.04,3.59,1035
"31","1",13.73,1.5,101,3,3.25,0.29,5.7,1.19,2.71,1285
"32","1",13.58,1.66,106,2.86,3.19,0.22,6.9,1.09,2.88,1515
"33","1",13.68,1.83,104,2.42,2.69,0.42,3.84,1.23,2.87,990
"34","1",13.76,1.53,132,2.95,2.74,0.5,5.4,1.25,3,1235
"35","1",13.51,1.8,110,2.35,2.53,0.29,4.2,1.1,2.87,1095
"36","1",13.48,1.81,100,2.7,2.98,0.26,5.1,1.04,3.47,920
"37","1",13.28,1.64,110,2.6,2.68,0.34,4.6,1.09,2.78,880
"38","1",13.05,1.65,98,2.45,2.43,0.29,4.25,1.12,2.51,1105
"39","1",13.07,1.5,98,2.4,2.64,0.28,3.7,1.18,2.69,1020
"40","1",14.22,3.99,128,3,3.04,0.2,5.1,0.89,3.53,760
"41","1",13.56,1.71,117,3.15,3.29,0.34,6.13,0.95,3.38,795
"42","1",13.41,3.84,90,2.45,2.68,0.27,4.28,0.91,3,1035
"43","1",13.88,1.89,101,3.25,3.56,0.17,5.43,0.88,3.56,1095
"44","1",13.24,3.98,103,2.64,2.63,0.32,4.36,0.82,3,680
"45","1",13.05,1.77,107,3,3,0.28,5.04,0.88,3.35,885
"46","1",14.21,4.04,111,2.85,2.65,0.3,5.24,0.87,3.33,1080
"47","1",14.38,3.59,102,3.25,3.17,0.27,4.9,1.04,3.44,1065
"48","1",13.9,1.68,101,3.1,3.39,0.21,6.1,0.91,3.33,985
"49","1",14.1,2.02,103,2.75,2.92,0.32,6.2,1.07,2.75,1060
"50","1",13.94,1.73,108,2.88,3.54,0.32,8.9,1.12,3.1,1260
"51","1",13.05,1.73,92,2.72,3.27,0.17,7.2,1.12,2.91,1150
"52","1",13.83,1.65,94,2.45,2.99,0.22,5.6,1.24,3.37,1265
"53","1",13.82,1.75,111,3.88,3.74,0.32,7.05,1.01,3.26,1190
"54","1",13.77,1.9,115,3,2.79,0.39,6.3,1.13,2.93,1375
"55","1",13.74,1.67,118,2.6,2.9,0.21,5.85,0.92,3.2,1060
"56","1",13.56,1.73,116,2.96,2.78,0.2,6.25,0.98,3.03,1120
"57","1",14.22,1.7,118,3.2,3,0.26,6.38,0.94,3.31,970
"58","1",13.29,1.97,102,3,3.23,0.31,6,1.07,2.84,1270
"59","1",13.72,1.43,108,3.4,3.67,0.19,6.8,0.89,2.87,1285
"60","2",12.37,0.94,88,1.98,0.57,0.28,1.95,1.05,1.82,520
